instance_name,best,best_performance,AntCol_rhyd,Construction_ROS_chiarandini,DSATUR_chiarandini,EX_DSATUR_chiarandini,Greedy_chiarandini,HEA_RLF_chiarandini,HEA_chiarandini,HEA_rhyd,HillClimb_rhyd,PartialCol_chiarandini,PartialCol_rhyd,Penalty_chiarandini,RLF_chiarandini,TABUCOL_chiarandini,TABUCOL_rhyd
DSJR500.1.col,12,12,13,15,13,13,15,12,12,13,13,12,13,nan,13,12,13
queen11_11.col,12,12,13,17,15,15,17,14,13,13,14,12,13,nan,14,12,13
DSJC250.5.col,29,29,31,42,38,38,42,35,34,31,34,30,31,nan,35,29,31
games120.col,9,9,10,9,9,9,9,9,9,10,10,9,10,nan,9,9,10
zeroin.i.2.col,30,30,31,31,30,30,31,30,30,31,31,30,31,nan,30,30,31
3-FullIns_4.col,7,7,8,9,7,7,9,7,7,8,8,7,8,nan,7,7,8
queen8_8.col,9,9,10,13,11,11,13,10,10,10,10,9,10,nan,10,9,10
DSJC500.1.col,13,13,15,21,16,16,21,15,15,14,16,13,14,nan,15,13,14
myciel7g.col,8,8,9,9,8,8,9,8,8,9,9,8,9,nan,8,8,9
3-Insertions_4.col,5,5,6,6,5,5,6,5,5,6,6,5,6,nan,5,5,6
flat300_20_0.col,20,20,35,44,41,41,44,37,37,26,21,20,30,nan,37,20,29
r125.5.col,37,37,37,44,38,38,44,37,37,37,37,37,38,nan,37,37,38
DSJC125.1g.col,5,5,6,9,6,6,9,5,6,6,7,5,6,nan,6,5,6
DSJC125.1.col,5,5,6,9,6,6,9,5,6,6,7,5,6,nan,6,5,6
r125.1c.col,46,46,47,52,46,46,52,46,47,47,47,46,47,nan,48,46,47
4-FullIns_5.col,9,9,10,13,9,9,13,9,9,10,10,9,10,nan,9,9,10
DSJR500.5.col,128,128,131,145,130,130,145,130,131,128,130,129,132,nan,132,129,132
1-Insertions_6.col,7,7,8,9,7,7,9,7,7,8,8,7,8,nan,7,7,8
le450_5c.col,5,5,6,17,11,11,17,5,5,6,6,5,8,nan,5,5,6
R100_5gb.col,14,14,16,22,18,18,22,17,16,15,16,14,15,nan,18,14,15
queen6_6.col,7,7,8,10,9,9,10,7,7,8,8,7,8,nan,8,7,8
2-Insertions_5.col,6,6,7,6,6,6,6,6,6,7,7,6,7,nan,6,6,7
le450_15a.col,15,15,17,21,16,16,21,16,16,17,17,16,17,nan,16,15,17
DSJC125.5g.col,17,17,19,28,22,22,28,20,19,19,19,18,19,nan,20,17,19
myciel6.col,7,7,8,8,7,7,8,7,7,8,8,7,8,nan,7,7,8
3-Insertions_3.col,4,4,5,4,4,4,4,4,4,5,5,4,5,nan,4,4,5
4-Insertions_4.col,5,5,6,6,5,5,6,5,5,6,6,5,6,nan,5,5,6
le450_25b.col,25,25,26,29,25,25,29,25,25,26,26,25,26,nan,25,25,26
queen10_10gb.col,11,11,12,15,15,15,15,12,12,12,13,11,12,nan,12,11,12
R100_1gb.col,5,5,6,7,6,6,7,5,5,6,6,5,6,nan,6,5,6
wap01a.col,43,43,48,57,50,50,57,46,46,45,47,43,47,nan,48,45,47
1-FullIns_3.col,4,4,5,4,4,4,4,4,4,5,5,4,5,nan,4,4,5
R50_5gb.col,10,10,11,13,11,11,13,10,10,11,11,10,11,nan,11,10,11
4-Insertions_3.col,4,4,5,5,4,4,5,4,4,5,5,4,5,nan,4,4,5
R50_5g.col,10,10,11,13,11,11,13,10,10,11,11,10,11,nan,11,10,11
1-FullIns_5.col,6,6,7,8,6,6,8,6,6,7,7,6,7,nan,6,6,7
queen12_12g.col,13,13,15,17,16,16,17,14,14,14,15,14,14,nan,14,13,14
DSJR500.1c.col,87,86,93,105,88,88,105,88,89,89,86,89,89,nan,94,93,89
wap08a.col,44,44,48,59,45,45,59,45,45,46,47,44,46,nan,45,44,46
2-FullIns_4.col,6,6,7,8,6,6,8,6,6,7,7,6,7,nan,6,6,7
flat1000_76_0.col,91,91,98,122,114,114,122,107,107,102,116,95,103,nan,107,92,108
le450_5d.col,5,5,6,16,11,11,16,6,5,6,6,5,7,nan,6,5,6
miles500.col,20,20,21,23,20,20,23,20,20,21,21,20,21,nan,20,20,21
R75_9g.col,33,33,34,37,34,34,37,33,33,34,34,33,34,nan,33,33,34
homer.col,13,13,14,14,13,13,14,nan,13,14,nan,13,14,nan,13,nan,14
R75_1g.col,4,4,5,6,5,5,6,4,4,5,5,4,5,nan,4,4,5
anna.col,11,11,12,11,11,11,11,11,11,12,12,11,12,nan,11,11,12
le450_15d.col,17,17,23,30,24,24,30,23,23,23,25,18,22,nan,23,17,21
