instance_name,best,best_performance,AntCol_rhyd_Run1,AntCol_rhyd_Run2,Construction_ROS_chiarandini_Run1,Construction_ROS_chiarandini_Run2,DSATUR_chiarandini_Run1,DSATUR_chiarandini_Run2,EX_DSATUR_chiarandini_Run1,EX_DSATUR_chiarandini_Run2,Greedy_chiarandini_Run1,Greedy_chiarandini_Run2,HEA_RLF_chiarandini_Run1,HEA_RLF_chiarandini_Run2,HEA_chiarandini_Run1,HEA_chiarandini_Run2,HEA_rhyd_Run1,HEA_rhyd_Run2,HillClimb_rhyd_Run1,HillClimb_rhyd_Run2,PartialCol_chiarandini_Run1,PartialCol_chiarandini_Run2,PartialCol_rhyd_Run1,PartialCol_rhyd_Run2,Penalty_chiarandini_Run1,Penalty_chiarandini_Run2,RLF_chiarandini_Run1,RLF_chiarandini_Run2,TABUCOL_chiarandini_Run1,TABUCOL_chiarandini_Run2,TABUCOL_rhyd_Run1,TABUCOL_rhyd_Run2
DSJR500.1.col,12,12,nan,nan,15,15,13,13,13,13,15,15,12,12,12,12,nan,nan,nan,nan,12,12,nan,nan,nan,nan,13,12,12,12,nan,nan
queen11_11.col,11,11,nan,nan,17,18,15,15,15,15,17,18,14,14,13,13,nan,nan,nan,nan,12,13,nan,nan,nan,nan,14,14,12,12,nan,nan
DSJC250.5.col,28,28,nan,nan,42,41,38,37,38,37,42,41,35,35,34,33,nan,nan,nan,nan,30,29,nan,nan,nan,nan,35,35,29,29,nan,nan
games120.col,9,9,nan,nan,9,9,9,9,9,9,9,9,9,9,9,9,nan,nan,nan,nan,9,9,nan,nan,nan,nan,9,9,9,9,nan,nan
zeroin.i.2.col,30,30,nan,nan,31,31,30,30,30,30,31,31,30,30,30,30,nan,nan,nan,nan,30,30,nan,nan,nan,nan,30,30,30,30,nan,nan
3-FullIns_4.col,7,7,nan,nan,9,10,7,7,7,7,9,10,7,7,7,7,nan,nan,nan,nan,7,7,nan,nan,nan,nan,7,7,7,7,nan,nan
queen8_8.col,9,9,nan,nan,13,13,11,11,11,11,13,13,10,10,10,10,nan,nan,nan,nan,9,9,nan,nan,nan,nan,10,10,9,9,nan,nan
DSJC500.1.col,12,12,nan,nan,21,20,16,16,16,16,21,20,15,15,15,14,nan,nan,nan,nan,13,13,nan,nan,nan,nan,15,15,13,13,nan,nan
myciel7g.col,191,8,nan,nan,9,8,8,8,8,8,9,8,8,8,8,8,nan,nan,nan,nan,8,8,nan,nan,nan,nan,8,8,8,8,nan,nan
3-Insertions_4.col,5,5,nan,nan,6,5,5,5,5,5,6,5,5,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,5,5,5,5,nan,nan
flat300_20_0.col,300,20,nan,nan,44,45,41,40,41,40,44,45,37,37,37,37,nan,nan,nan,nan,20,20,nan,nan,nan,nan,37,37,20,20,nan,nan
r125.5.col,36,36,nan,nan,44,43,38,38,38,38,44,43,37,37,37,37,nan,nan,nan,nan,37,37,nan,nan,nan,nan,37,37,37,37,nan,nan
DSJC125.1g.col,125,5,nan,nan,9,8,6,6,6,6,9,8,5,6,6,6,nan,nan,nan,nan,5,5,nan,nan,nan,nan,6,6,5,5,nan,nan
DSJC125.1.col,5,5,nan,nan,9,8,6,6,6,6,9,8,5,6,6,6,nan,nan,nan,nan,5,5,nan,nan,nan,nan,6,6,5,5,nan,nan
r125.1c.col,46,46,nan,nan,52,52,46,46,46,46,52,52,46,46,47,47,nan,nan,nan,nan,46,46,nan,nan,nan,nan,48,47,46,46,nan,nan
4-FullIns_5.col,4146,9,nan,nan,13,12,9,9,9,9,13,12,9,9,9,9,nan,nan,nan,nan,9,9,nan,nan,nan,nan,9,9,9,9,nan,nan
DSJR500.5.col,122,122,nan,nan,145,148,130,130,130,130,145,148,130,130,131,131,nan,nan,nan,nan,129,128,nan,nan,nan,nan,132,132,129,128,nan,nan
1-Insertions_6.col,7,7,nan,nan,9,8,7,7,7,7,9,8,7,7,7,7,nan,nan,nan,nan,7,7,nan,nan,nan,nan,7,7,7,7,nan,nan
le450_5c.col,5,5,nan,nan,17,18,11,6,11,6,17,18,5,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,5,5,5,5,nan,nan
R100_5gb.col,100,14,nan,nan,22,21,18,18,18,18,22,21,17,17,16,16,nan,nan,nan,nan,14,14,nan,nan,nan,nan,18,17,14,14,nan,nan
