Instance,Best,Algorithm,Last Improved,Category
1-FullIns_3.col,4,DSATUR_chiarandini,2025-04-29,4
1-FullIns_4.col,5,DSATUR_chiarandini,2025-04-29,4
1-FullIns_5.col,6,DSATUR_chiarandini,2025-04-29,3
1-Insertions_4.col,5,DSATUR_chiarandini,2025-04-29,4
1-Insertions_5.col,6,DSATUR_chiarandini,2025-04-29,4
1-Insertions_6.col,7,DSATUR_chiarandini,2025-04-29,3
2-FullIns_3.col,5,DSATUR_chiarandini,2025-04-29,4
2-FullIns_4.col,6,DSATUR_chiarandini,2025-04-29,4
2-FullIns_5.col,7,DSATUR_chiarandini,2025-04-29,3
2-Insertions_3.col,4,DSATUR_chiarandini,2025-04-29,4
2-Insertions_4.col,5,DSATUR_chiarandini,2025-04-29,4
2-Insertions_5.col,6,DSATUR_chiarandini,2025-04-29,3
3-FullIns_3.col,6,DSATUR_chiarandini,2025-04-29,4
3-FullIns_4.col,7,DSATUR_chiarandini,2025-04-29,3
3-FullIns_5.col,8,DSATUR_chiarandini,2025-04-29,3
3-Insertions_3.col,4,DSATUR_chiarandini,2025-04-29,4
3-Insertions_4.col,5,DSATUR_chiarandini,2025-04-29,4
3-Insertions_5.col,6,DSATUR_chiarandini,2025-04-29,3
4-FullIns_3.col,7,DSATUR_chiarandini,2025-04-29,4
4-FullIns_4.col,8,DSATUR_chiarandini,2025-04-29,3
4-FullIns_5.col,9,DSATUR_chiarandini,2025-04-29,3
4-Insertions_3.col,4,DSATUR_chiarandini,2025-04-29,4
4-Insertions_4.col,5,DSATUR_chiarandini,2025-04-29,4
5-FullIns_3.col,8,DSATUR_chiarandini,2025-04-29,4
5-FullIns_4.col,9,DSATUR_chiarandini,2025-04-29,3
C4000.5.col,314,TABUCOL_chiarandini,2025-04-29,2
C57-N00778-B50-WAP__9.col,56,TABUCOL_chiarandini,2025-04-29,3
C57-N00855-B50-WAP_10.col,55,TABUCOL_chiarandini,2025-04-29,3
DSJC1000.1.col,21,TABUCOL_chiarandini,2025-04-29,2
DSJC1000.5.col,93,TABUCOL_chiarandini,2025-04-29,2
DSJC1000.9.col,235,TABUCOL_chiarandini,2025-04-29,2
DSJC125.1.col,5,TABUCOL_chiarandini,2025-04-29,4
DSJC125.1g.col,5,TABUCOL_chiarandini,2025-04-29,4
DSJC125.1gb.col,5,TABUCOL_chiarandini,2025-04-29,4
DSJC125.5.col,17,TABUCOL_chiarandini,2025-04-29,2
DSJC125.5g.col,17,TABUCOL_chiarandini,2025-04-29,2
DSJC125.5gb.col,17,TABUCOL_chiarandini,2025-04-29,2
DSJC125.9.col,44,TABUCOL_chiarandini,2025-04-29,2
DSJC125.9g.col,44,TABUCOL_chiarandini,2025-04-29,2
DSJC125.9gb.col,44,TABUCOL_chiarandini,2025-04-29,2
DSJC250.1.col,8,TABUCOL_chiarandini,2025-04-29,1
DSJC250.5.col,29,TABUCOL_chiarandini,2025-04-29,2
DSJC250.9.col,72,TABUCOL_chiarandini,2025-04-29,2
DSJC500.1.col,13,TABUCOL_chiarandini,2025-04-29,2
DSJC500.5.col,51,TABUCOL_chiarandini,2025-04-29,2
DSJC500.9.col,129,TABUCOL_chiarandini,2025-04-29,2
DSJR500.1.col,12,TABUCOL_chiarandini,2025-04-29,4
DSJR500.1c.col,86,HillClimb_rhyd,2025-05-18,2
DSJR500.5.col,126,HEA_rhyd,2025-05-19,2
R100_1g.col,5,HEA_chiarandini,2025-04-29,4
R100_1gb.col,5,HEA_chiarandini,2025-04-29,4
R100_5g.col,14,TABUCOL_chiarandini,2025-04-29,1
R100_5gb.col,14,TABUCOL_chiarandini,2025-04-29,1
R100_9g.col,35,TABUCOL_chiarandini,2025-04-29,1
R100_9gb.col,35,TABUCOL_chiarandini,2025-04-29,1
R50_1g.col,3,HEA_chiarandini,2025-04-29,4
R50_1gb.col,3,HEA_chiarandini,2025-04-29,4
R50_5g.col,10,HEA_chiarandini,2025-04-29,1
R50_5gb.col,10,HEA_chiarandini,2025-04-29,1
R50_9g.col,21,HEA_chiarandini,2025-04-29,1
R50_9gb.col,21,HEA_chiarandini,2025-04-29,1
R75_1g.col,4,HEA_chiarandini,2025-04-29,4
R75_1gb.col,4,HEA_chiarandini,2025-04-29,4
R75_5g.col,12,TABUCOL_chiarandini,2025-04-29,1
R75_5gb.col,12,TABUCOL_chiarandini,2025-04-29,1
R75_9g.col,33,HEA_chiarandini,2025-04-29,1
R75_9gb.col,33,HEA_chiarandini,2025-04-29,1
abb313GPIA.col,10,TABUCOL_chiarandini,2025-04-29,3
anna.col,11,DSATUR_chiarandini,2025-04-29,4
ash331GPIA.col,4,TABUCOL_chiarandini,2025-04-29,4
ash608GPIA.col,4,TABUCOL_chiarandini,2025-04-29,4
ash958GPIA.col,4,TABUCOL_chiarandini,2025-04-29,4
david.col,11,DSATUR_chiarandini,2025-04-29,4
flat1000_50_0.col,89,PartialCol_chiarandini,2025-04-29,2
flat1000_60_0.col,91,TABUCOL_chiarandini,2025-04-29,2
flat1000_76_0.col,91,TABUCOL_chiarandini,2025-04-29,2
flat300_20_0.col,20,TABUCOL_chiarandini,2025-04-29,2
