Instance,best,algorithm
1-FullIns_3,4,DSATUR
1-Insertions_4,5,DSATUR
2-FullIns_3,5,DSATUR
2-Insertions_3,4,DSATUR
3-Insertions_3,4,DSATUR
anna,11,DSATUR
ash331GPIA,4,TABUCOL
david,11,DSATUR
DSJC125.1,5,DSATUR
DSJR500.1,12,HEA
fpsol2.i.1,65,DSATUR
fpsol2.i.2,30,DSATUR
fpsol2.i.3,30,DSATUR
games120,9,DSATUR
homer,13,DSATUR
huck,11,DSATUR
inithx.i.1,54,DSATUR
inithx.i.2,31,DSATUR
inithx.i.3,31,DSATUR
jean,10,DSATUR
le450_25a,25,DSATUR
le450_25b,25,DSATUR
le450_5c,5,HEA
le450_5d,5,HEA
miles1000,42,DSATUR
miles1500,73,DSATUR
miles250,8,DSATUR
miles500,20,DSATUR
miles750,31,DSATUR
mug88_1,4,DSATUR
mug88_25,4,DSATUR
mulsol.i.1,49,DSATUR
mulsol.i.2,31,DSATUR
mulsol.i.3,31,DSATUR
mulsol.i.4,31,DSATUR
mulsol.i.5,31,DSATUR
myciel3,4,DSATUR
myciel4,5,DSATUR
myciel5,6,DSATUR
queen5_5,5,DSATUR
queen6_6,7,HEA
queen7_7,7,HEA
queen8_12,12,HEA
queen8_8,9,TABUCOL
queen9_9,10,HEA
r1000.1,20,DSATUR
r125.1,5,DSATUR
r125.1c,46,DSATUR
r125.5,36,HEA
r250.1,8,DSATUR
r250.1c,64,DSATUR
school1,14,TABUCOL
will199GPIA,7,DSATUR
zeroin.i.1,49,DSATUR
zeroin.i.2,30,DSATUR
zeroin.i.3,30,DSATUR
1-FullIns_4,5,DSATUR
2-FullIns_4,6,DSATUR
3-FullIns_3,6,DSATUR
4-FullIns_3,7,DSATUR
5-FullIns_3,8,DSATUR
4-Insertions_3,4,DSATUR
ash608GPIA,4,HEA
ash958GPIA,4,TABUCOL
le450_15a,15,TABUCOL
mug100_1,4,DSATUR
mug100_25,4,DSATUR
wap05a,50,HEA
myciel6,7,DSATUR
school1_nsh,14,TABUCOL
flat300_28_0,28,TABUCOL
r1000.5,234,TABUCOL
r250.5,65,DSATUR
DSJR500.5,122,TABUCOL
DSJR500.1c,85,DSATUR
DSJC125.5,17,TABUCOL
DSJC125.9,44,TABUCOL
DSJC250.9,72,TABUCOL
queen10_10,11,TABUCOL
queen11_11,11,TABUCOL
queen12_12,12,TABUCOL
queen13_13,13,HEA
queen14_14,14,HEA
queen15_15,15,TABUCOL
le450_5a,5,TABUCOL
le450_5b,5,TABUCOL
le450_15b,15,TABUCOL
le450_15c,15,TABUCOL
le450_15d,15,TABUCOL
le450_25c,25,TABUCOL
le450_25d,25,TABUCOL
myciel7,8,DSATUR
1-FullIns_5,6,DSATUR
2-FullIns_5,7,DSATUR
3-FullIns_4,7,DSATUR
4-FullIns_4,8,DSATUR
5-FullIns_4,9,DSATUR
1-Insertions_5,6,DSATUR
1-Insertions_6,7,DSATUR
2-Insertions_4,5,DSATUR
2-Insertions_5,6,DSATUR
3-Insertions_4,5,DSATUR
3-Insertions_5,6,DSATUR
4-Insertions_3,4,DSATUR
4-Insertions_4,5,DSATUR
DSJC250.1,8,TABUCOL
DSJC250.5,28,TABUCOL
DSJC500.1,12,TABUCOL
DSJC500.5,47,TABUCOL
DSJC500.9,126,TABUCOL
DSJC1000.1,20,TABUCOL
DSJC1000.5,82,TABUCOL
DSJC1000.9,222,TABUCOL
flat1000_50_0,50,TABUCOL
flat1000_60_0,60,TABUCOL
flat1000_76_0,81,TABUCOL
r1000.1c,98,TABUCOL
abb313GPIA,10,TABUCOL
wap01a,41,TABUCOL
wap02a,40,HEA
wap03a,40,TABUCOL
wap04a,42,HEA
wap06a,40,TABUCOL
wap07a,41,TABUCOL
wap08a,40,TABUCOL
C4000.5,259,TABUCOL
